stamp,x,y,z,method,accum,voxel_d,proc_ms
1739296837.286629,1.77293,0.95069,0.01170,p2p[d=0.03],1,0.030,23.04
1739296837.400607,1.79509,0.96764,0.01070,p2p[d=0.03],1,0.030,24.11
1739296837.511998,1.81837,0.97514,0.00659,p2p[d=0.03],1,0.030,34.79
1739296837.636906,1.84476,0.98991,0.00573,p2p[d=0.03],1,0.030,28.00
1739296837.750899,1.86303,1.00694,0.00919,p2p[d=0.03],1,0.030,28.44
1739296837.881379,1.88443,1.02258,0.00959,p2p[d=0.03],1,0.030,35.68
1739296838.001390,1.91049,1.03704,0.00984,p2p[d=0.03],1,0.030,49.61
1739296838.117669,1.93152,1.04757,0.01342,p2p[d=0.03],1,0.030,40.71
1739296838.223343,1.94412,1.05500,0.01653,p2p[d=0.03],1,0.030,26.73
1739296838.342532,1.96544,1.06880,0.01821,p2p[d=0.03],1,0.030,31.97
1739296838.470570,1.98902,1.08724,0.01634,p2p[d=0.03],1,0.030,42.19
1739296838.595512,2.01063,1.09448,0.01947,p2p[d=0.03],1,0.030,24.26
1739296838.721570,2.03135,1.11118,0.01262,p2p[d=0.03],1,0.030,20.59
1739296838.848329,2.05586,1.11768,0.01201,p2p[d=0.03],1,0.030,28.62
1739296838.981455,2.08188,1.12974,0.01575,p2p[d=0.03],1,0.030,31.77
1739296839.092503,2.10395,1.13857,0.01749,p2p[d=0.03],1,0.030,20.32
1739296839.207031,2.12803,1.15404,0.02220,p2p[d=0.03],1,0.030,20.02
1739296839.323671,2.14273,1.17215,0.01953,p2p[d=0.03],1,0.030,24.55
1739296839.432163,2.16214,1.17931,0.01723,p2p[d=0.03],1,0.030,33.60
1739296839.558300,2.19032,1.19755,0.01680,p2p[d=0.03],1,0.030,21.22
1739296839.679612,2.21423,1.21184,0.01872,p2p[d=0.03],1,0.030,19.83
1739296839.812329,2.23341,1.22579,0.01340,p2p[d=0.03],1,0.030,22.46
1739296839.929399,2.25314,1.23769,0.01522,p2p[d=0.03],1,0.030,24.66
1739296840.045494,2.26759,1.24610,0.01299,p2p[d=0.03],1,0.030,20.82
1739296840.162606,2.29298,1.25661,0.01808,p2p[d=0.03],1,0.030,21.59
1739296840.279861,2.31335,1.26313,0.01927,p2p[d=0.03],1,0.030,21.27
1739296840.396544,2.33836,1.27535,0.02570,p2p[d=0.03],1,0.030,35.50
1739296840.535597,2.37464,1.28409,0.02254,p2p[d=0.03],1,0.030,53.69
1739296840.655745,2.39821,1.29327,0.02061,p2p[d=0.03],1,0.030,21.76
1739296840.785419,2.42321,1.31461,0.01841,p2p[d=0.03],1,0.030,27.49
1739296840.907938,2.43869,1.32544,0.01662,p2p[d=0.03],1,0.030,33.47
1739296841.015684,2.45380,1.33803,0.01732,p2p[d=0.03],1,0.030,30.85
1739296841.129614,2.47562,1.35074,0.01575,p2p[d=0.03],1,0.030,21.80
1739296841.253898,2.49041,1.36636,0.01802,p2p[d=0.03],1,0.030,23.40
1739296841.362810,2.51241,1.38179,0.02142,p2p[d=0.03],1,0.030,23.16
1739296841.482323,2.53555,1.39953,0.01920,p2p[d=0.03],1,0.030,23.73
1739296841.597266,2.56267,1.40883,0.01975,p2p[d=0.03],1,0.030,21.37
1739296841.724578,2.59190,1.41789,0.01897,p2p[d=0.03],1,0.030,20.30
1739296841.838117,2.61621,1.42749,0.01913,p2p[d=0.03],1,0.030,21.39
1739296841.961361,2.63955,1.43826,0.01669,p2p[d=0.03],1,0.030,20.87
1739296842.085312,2.66546,1.45265,0.01735,p2p[d=0.03],1,0.030,26.25
1739296842.201862,2.67926,1.46403,0.01934,p2p[d=0.03],1,0.030,21.47
1739296842.324461,2.69552,1.47919,0.01912,p2p[d=0.03],1,0.030,32.00
1739296842.441690,2.72304,1.50144,0.01759,p2p[d=0.03],1,0.030,23.38
1739296842.568845,2.73586,1.50698,0.02441,p2p[d=0.03],1,0.030,22.71
1739296842.696795,2.76382,1.51941,0.02359,p2p[d=0.03],1,0.030,22.09
1739296842.815934,2.77752,1.52796,0.02428,p2p[d=0.03],1,0.030,21.83
1739296842.934418,2.80632,1.53358,0.02677,p2p[d=0.03],1,0.030,21.25
1739296843.047496,2.82741,1.55573,0.02194,p2p[d=0.03],1,0.030,22.06
1739296843.155615,2.84637,1.56903,0.01976,p2p[d=0.03],1,0.030,47.12
1739296843.269190,2.87073,1.57501,0.02302,p2p[d=0.03],1,0.030,29.72
1739296843.388537,2.90235,1.58874,0.02029,p2p[d=0.03],1,0.030,40.02
1739296843.519054,2.91955,1.60093,0.02124,p2p[d=0.03],1,0.030,32.25
1739296843.638727,2.93766,1.61169,0.02301,p2p[d=0.03],1,0.030,22.77
1739296843.764364,2.96497,1.63233,0.01932,p2p[d=0.03],1,0.030,23.07
1739296843.880987,2.99074,1.63669,0.01867,p2p[d=0.03],1,0.030,22.63
1739296844.000132,3.01427,1.64811,0.02102,p2p[d=0.03],1,0.030,22.84
1739296844.116628,3.03834,1.66022,0.02095,p2p[d=0.03],1,0.030,22.86
1739296844.230812,3.05635,1.66747,0.01814,p2p[d=0.03],1,0.030,34.19
1739296844.344379,3.08229,1.68389,0.01958,p2p[d=0.03],1,0.030,33.66
1739296844.486209,3.09955,1.70516,0.02133,p2p[d=0.03],1,0.030,33.33
1739296844.625190,3.12284,1.71751,0.02548,p2p[d=0.03],1,0.030,25.67
1739296844.744597,3.14411,1.72581,0.02345,p2p[d=0.03],1,0.030,22.26
1739296844.864670,3.16413,1.73789,0.02275,p2p[d=0.03],1,0.030,21.66
1739296844.992095,3.18952,1.75709,0.02313,p2p[d=0.03],1,0.030,22.67
1739296845.111014,3.21309,1.76554,0.02636,p2p[d=0.03],1,0.030,24.54
1739296845.229055,3.23471,1.77402,0.03046,p2p[d=0.03],1,0.030,22.50
1739296845.355136,3.25807,1.78762,0.02991,p2p[d=0.03],1,0.030,24.85
1739296845.497358,3.28209,1.79725,0.02875,p2p[d=0.03],1,0.030,34.55
1739296845.617563,3.31348,1.82058,0.02588,p2p[d=0.03],1,0.030,25.90
1739296845.731046,3.33270,1.83654,0.02553,p2p[d=0.03],1,0.030,20.88
1739296845.850487,3.35452,1.84089,0.02146,p2p[d=0.03],1,0.030,35.20
1739296845.964230,3.37075,1.85418,0.02023,p2p[d=0.03],1,0.030,29.20
1739296846.078236,3.38571,1.86649,0.02071,p2p[d=0.03],1,0.030,25.65
1739296846.210330,3.38357,1.87540,0.02402,p2p[d=0.03],1,0.030,22.60
1739296846.336681,3.38281,1.88636,0.03538,p2p[d=0.03],1,0.030,28.97
